seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
22,2,global_only,0.24595144775620578,0.3655626780626781,0.5125010765550908,0.4037349716284619
22,2,local_only,0.31604609929078015,0.3796296296296296,0.49714352884133034,0.40911250159461554
22,2,fixed_4g_4l,0.1286549707602339,0.28205128205128205,0.4828256141071034,0.3413453565602918
22,2,random_allocation,0.21052631578947367,0.33101851851851855,0.37897000661592034,0.31194876402006194
22,2,proposed_lsa_glqie,0.23030303030303031,0.24554843304843307,0.412210520860655,0.3345565514610933
22,2,classical_proposed,0.8354700854700855,0.8424145299145299,0.9363756989918411,0.8722493245629955
22,2,fixed_2g_6l,0.16040100250626566,0.3005698005698006,0.45501269682549544,0.353541750773374
22,2,fixed_6g_2l,0.1693121693121693,0.3333333333333333,0.48959973215682173,0.35957685684325025
22,2,shuffled_size_allocation,0.18451300665456746,0.35185185185185186,0.5277816692215044,0.4284028370828424
22,2,lesion_size_only,0.4341736694677871,0.5689102564102564,0.7493715667912487,0.5818774409195792
22,2,svm_classical_proposed,0.8290290290290291,0.8447293447293447,0.9687550274190659,0.9175602992135009
22,3,global_only,0.33796296296296297,0.38654328128012333,0.48671657087227266,0.3789456793191223
22,3,local_only,0.2739597942964002,0.3182957393483709,0.5183977004152442,0.4179864107343987
22,3,fixed_4g_4l,0.41111111111111115,0.45845382687487946,0.6125657257784451,0.4774761928146298
22,3,random_allocation,0.3673240339907006,0.3976286871023713,0.49215229012378137,0.4057628106112055
22,3,proposed_lsa_glqie,0.389239618406285,0.3876036244457297,0.5103729015461472,0.4131872308257341
22,3,classical_proposed,0.7360193587416818,0.7370348949296318,0.9108282575936085,0.8372610915097646
22,3,fixed_2g_6l,0.3584701322389421,0.39464044727202624,0.6288996091627671,0.520535540456744
22,3,fixed_6g_2l,0.26959872800280266,0.3038365143628301,0.41148237118631864,0.3483379456048654
22,3,shuffled_size_allocation,0.28194726166328604,0.2873529978793137,0.510385843445054,0.35313502574750716
22,3,lesion_size_only,0.5411521130191207,0.5702718334297282,0.7764750681417348,0.6793386317721485
22,3,svm_classical_proposed,0.8576576576576578,0.8579140158087526,0.9373497279199033,0.878064308578093
22,4,global_only,0.38297258297258296,0.38569500674763835,0.5157102078348209,0.38620619848100307
22,4,local_only,0.2876830318690784,0.34035087719298246,0.556091940824913,0.4072635834312253
22,4,fixed_4g_4l,0.196969696969697,0.20224921277552857,0.4771834374775552,0.3229559825262174
22,4,random_allocation,0.1972677595628415,0.3508771929824561,0.4827319288039102,0.3817772931322901
22,4,proposed_lsa_glqie,0.1972677595628415,0.3508771929824561,0.576448025228985,0.42190891647448825
22,4,classical_proposed,0.7456140350877193,0.7430499325236166,0.8938395904920672,0.7888020502339622
22,4,fixed_2g_6l,0.30675090675090677,0.3168690958164642,0.4629379585842434,0.36102740049637605
22,4,fixed_6g_2l,0.29817019400352734,0.30481331533963113,0.5290384001103815,0.4040809468708206
22,4,shuffled_size_allocation,0.300187617260788,0.35789473684210527,0.5576394795435043,0.4103002357353984
22,4,lesion_size_only,0.6059667886293273,0.6421052631578947,0.7855814120520003,0.6317502583343856
22,4,svm_classical_proposed,0.8941788575409265,0.912280701754386,0.9483303611593085,0.8783043376784052
22,5,global_only,0.21577164973391386,0.393939393939394,0.4898148648148648,0.41317901600724
22,5,local_only,0.22896057347670248,0.32128982128982125,0.48514253514253514,0.37535478858651833
22,5,fixed_4g_4l,0.1644895984518626,0.3636363636363636,0.5847469847469847,0.4174654749905871
22,5,random_allocation,0.21062271062271062,0.393939393939394,0.5667013417013417,0.4834323296540066
22,5,proposed_lsa_glqie,0.17835497835497835,0.3394198394198394,0.5022055022055022,0.37494805188914454
22,5,classical_proposed,0.87140470223177,0.8941983941983942,0.9599993099993099,0.9382199436900293
22,5,fixed_2g_6l,0.3039987766648826,0.41893291893291895,0.4976876226876226,0.3889180356463134
22,5,fixed_6g_2l,0.09929078014184396,0.25925925925925924,0.46912289412289415,0.3465573426289299
22,5,shuffled_size_allocation,0.2316666666666667,0.38720538720538716,0.6000516500516501,0.4708547840226014
22,5,lesion_size_only,0.41732979664014147,0.5156695156695157,0.6390953890953891,0.4922653408538646
22,5,svm_classical_proposed,0.8404614019520853,0.8638953638953639,0.9723363223363224,0.9417330498285833
33,1,global_only,0.1990049751243781,0.3333333333333333,0.530783642880417,0.4201912322883197
33,1,local_only,0.20512820512820515,0.3333333333333333,0.40995845552297167,0.2967647688009512
33,1,fixed_4g_4l,0.3008658008658009,0.3541666666666667,0.58713614641034,0.4356485515510198
33,1,random_allocation,0.1990049751243781,0.3333333333333333,0.5157710618732124,0.38607038270721183
33,1,proposed_lsa_glqie,0.19487179487179487,0.31666666666666665,0.5312941240360596,0.37521005810398855
33,1,classical_proposed,0.6294622244902919,0.6265151515151516,0.8544463451721516,0.7145139701253092
33,1,fixed_2g_6l,0.25641025641025644,0.3636363636363636,0.526661779081134,0.4314284613748094
33,1,fixed_6g_2l,0.1990049751243781,0.3333333333333333,0.42317711161797184,0.34762134069411316
33,1,shuffled_size_allocation,0.1990049751243781,0.3333333333333333,0.6042327395822019,0.44194255117294173
