seed,fold,method,patient_macro_auroc,patient_macro_auprc
11,4,random_allocation,0.49282820078098716,0.3578433518064008
11,4,proposed_lsa_glqie,0.5282822440717179,0.3890639422456137
11,4,classical_proposed,0.8922087222203322,0.7809538431761776
11,4,fixed_2g_6l,0.4605134395188575,0.36316826441127076
11,4,fixed_6g_2l,0.4644308026854467,0.3649309354438099
11,4,shuffled_size_allocation,0.5947277223980011,0.4704679424116669
11,4,lesion_size_only,0.7890813241625936,0.6363911244216175
11,4,svm_classical_proposed,0.9483303611593086,0.8788605527775566
11,5,global_only,0.6922800922800924,0.5189927073060935
11,5,local_only,0.5508768008768009,0.3849388879364244
11,5,fixed_4g_4l,0.5597236847236847,0.3776408548353786
11,5,random_allocation,0.603056378056378,0.5020936801614742
11,5,proposed_lsa_glqie,0.4897755647755648,0.34996344279433567
11,5,classical_proposed,0.956848781848782,0.9237934801899345
11,5,fixed_2g_6l,0.5260266010266009,0.43317554497555366
11,5,fixed_6g_2l,0.49576794576794575,0.3936652439928916
11,5,shuffled_size_allocation,0.50992985992986,0.3907576724525515
11,5,lesion_size_only,0.6284930034930035,0.46985372222172034
11,5,svm_classical_proposed,0.9716952966952966,0.9414684995640331
22,1,global_only,0.5231418123891243,0.39124947895276113
22,1,local_only,0.48875312262409043,0.3675859947745166
22,1,fixed_4g_4l,0.45316063864450956,0.3279493757068544
22,1,random_allocation,0.4937710437710437,0.41122719514253653
22,1,proposed_lsa_glqie,0.5249642482169364,0.3616069743068415
22,1,classical_proposed,0.8544463451721516,0.7145139701253092
22,1,fixed_2g_6l,0.5676224611708482,0.4409259374440971
22,1,fixed_6g_2l,0.508732938706057,0.40211830592142944
22,1,shuffled_size_allocation,0.43752489048187976,0.33646671589218763
22,1,lesion_size_only,0.7208889975019007,0.5995816668318353
22,1,svm_classical_proposed,0.939258173129141,0.8620553100542194
22,2,global_only,0.5125010765550908,0.4037349716284619
22,2,local_only,0.49714352884133034,0.40911250159461554
22,2,fixed_4g_4l,0.4828256141071034,0.3413453565602918
22,2,random_allocation,0.37897000661592034,0.31194876402006194
22,2,proposed_lsa_glqie,0.412210520860655,0.3345565514610933
22,2,classical_proposed,0.9363756989918411,0.8722493245629955
22,2,fixed_2g_6l,0.45501269682549544,0.353541750773374
22,2,fixed_6g_2l,0.48959973215682173,0.35957685684325025
22,2,shuffled_size_allocation,0.5277816692215044,0.4284028370828424
22,2,lesion_size_only,0.7493715667912487,0.5818774409195792
22,2,svm_classical_proposed,0.9687550274190659,0.9175602992135009
22,3,global_only,0.48671657087227266,0.3789456793191223
22,3,local_only,0.5183977004152442,0.4179864107343987
22,3,fixed_4g_4l,0.6125657257784451,0.4774761928146298
22,3,random_allocation,0.49215229012378137,0.4057628106112055
22,3,proposed_lsa_glqie,0.5103729015461472,0.4131872308257341
22,3,classical_proposed,0.9108282575936085,0.8372610915097646
22,3,fixed_2g_6l,0.6288996091627671,0.520535540456744
22,3,fixed_6g_2l,0.41148237118631864,0.3483379456048654
22,3,shuffled_size_allocation,0.510385843445054,0.35313502574750716
22,3,lesion_size_only,0.7764750681417348,0.6793386317721485
22,3,svm_classical_proposed,0.9373497279199033,0.878064308578093
22,4,global_only,0.5157102078348209,0.38620619848100307
22,4,local_only,0.556091940824913,0.4072635834312253
22,4,fixed_4g_4l,0.4771834374775552,0.3229559825262174
22,4,random_allocation,0.4827319288039102,0.3817772931322901
22,4,proposed_lsa_glqie,0.576448025228985,0.42190891647448825
22,4,classical_proposed,0.8938395904920672,0.7888020502339622
22,4,fixed_2g_6l,0.4629379585842434,0.36102740049637605
22,4,fixed_6g_2l,0.5290384001103815,0.4040809468708206
22,4,shuffled_size_allocation,0.5576394795435043,0.4103002357353984
22,4,lesion_size_only,0.7855814120520003,0.6317502583343856
22,4,svm_classical_proposed,0.9483303611593085,0.8783043376784052
22,5,global_only,0.4898148648148648,0.41317901600724
22,5,local_only,0.48514253514253514,0.37535478858651833
22,5,fixed_4g_4l,0.5847469847469847,0.4174654749905871
22,5,random_allocation,0.5667013417013417,0.4834323296540066
22,5,proposed_lsa_glqie,0.5022055022055022,0.37494805188914454
22,5,classical_proposed,0.9599993099993099,0.9382199436900293
22,5,fixed_2g_6l,0.4976876226876226,0.3889180356463134
22,5,fixed_6g_2l,0.46912289412289415,0.3465573426289299
22,5,shuffled_size_allocation,0.6000516500516501,0.4708547840226014
22,5,lesion_size_only,0.6390953890953891,0.4922653408538646
22,5,svm_classical_proposed,0.9723363223363224,0.9417330498285833
33,1,global_only,0.530783642880417,0.4201912322883197
33,1,local_only,0.40995845552297167,0.2967647688009512
33,1,fixed_4g_4l,0.58713614641034,0.4356485515510198
33,1,random_allocation,0.5157710618732124,0.38607038270721183
33,1,proposed_lsa_glqie,0.5312941240360596,0.37521005810398855
33,1,classical_proposed,0.8544463451721516,0.7145139701253092
33,1,fixed_2g_6l,0.526661779081134,0.4314284613748094
33,1,fixed_6g_2l,0.42317711161797184,0.34762134069411316
33,1,shuffled_size_allocation,0.6042327395822019,0.44194255117294173
33,1,lesion_size_only,0.7204961804424169,0.59946936137582
33,1,svm_classical_proposed,0.9390337062380073,0.8605458066507766
33,2,global_only,0.5455706702026142,0.4293679839751399
33,2,local_only,0.6003451291148405,0.45107022941743696
33,2,fixed_4g_4l,0.4717240125659612,0.3503457670133984
33,2,random_allocation,0.41421469593703447,0.311766152865056
33,2,proposed_lsa_glqie,0.4486868288191654,0.33912332453858723
33,2,classical_proposed,0.9363756989918411,0.8730371663326553
33,2,fixed_2g_6l,0.4816536953429253,0.3702313331204679
33,2,fixed_6g_2l,0.4986388102677443,0.3774824834711126
33,2,shuffled_size_allocation,0.42933276839823326,0.33430242436349245
33,2,lesion_size_only,0.7501325654093435,0.6508027603926053
33,2,svm_classical_proposed,0.9674444148042264,0.9156595352529459
33,3,global_only,0.5258881185416273,0.3645724750360899
33,3,local_only,0.5526760439041141,0.4436950916336159
33,3,fixed_4g_4l,0.5915834693246974,0.5006936505407332
33,3,random_allocation,0.5447288152880257,0.39935136406091326
33,3,proposed_lsa_glqie,0.5806124512264863,0.40959183964745854
33,3,classical_proposed,0.9161354504008012,0.8396989513288459
33,3,fixed_2g_6l,0.533275701312982,0.4301226070815745
33,3,fixed_6g_2l,0.42755287272831133,0.3418368642061496
33,3,shuffled_size_allocation,0.5259887326773292,0.39913275904589224
33,3,lesion_size_only,0.7362664950384249,0.6462052448507066
33,3,svm_classical_proposed,0.9373497279199033,0.878064308578093
33,4,global_only,0.47072278641551085,0.37051039303609795
33,4,local_only,0.5247359301345369,0.3977533638717634
33,4,fixed_4g_4l,0.369009202871432,0.31524605822480445
33,4,random_allocation,0.429726867130118,0.31252253105952227
33,4,proposed_lsa_glqie,0.4765793868154549,0.36581914384637143
33,4,classical_proposed,0.8897653258334373,0.7883799415101121
33,4,fixed_2g_6l,0.47432242465137203,0.381684108982524
33,4,fixed_6g_2l,0.38944292291815513,0.3137733705313469
33,4,shuffled_size_allocation,0.5212589117968375,0.38275220324843456
33,4,lesion_size_only,0.7911564828360494,0.6376864367118364
33,4,svm_classical_proposed,0.9483303611593086,0.8788605527775566
33,5,global_only,0.4726599476599476,0.3538738532504994
33,5,local_only,0.4704059204059204,0.3564477806012321
33,5,fixed_4g_4l,0.48037333037333035,0.3671341532280307
33,5,random_allocation,0.4794945544945546,0.3774678705932755
33,5,proposed_lsa_glqie,0.5392641642641642,0.3802192509857933
33,5,classical_proposed,0.9584924834924835,0.9402546552946331
33,5,fixed_2g_6l,0.6026460276460276,0.4787897656889248
33,5,fixed_6g_2l,0.5038740788740789,0.42188553435565795
33,5,shuffled_size_allocation,0.5411601661601662,0.41089505548809013
33,5,lesion_size_only,0.6497990247990247,0.47503092816986375
33,5,svm_classical_proposed,0.9723363223363224,0.9417330498285833
