method,metric,mean,std,ci95_low,ci95_high,n_folds
global_only,slice_class_2_recall,0.2972868401633548,0.1843503227778445,0.20399270477844517,0.3905809755482645,15
global_only,slice_class_2_f1,0.3144674367326943,0.15806875988766186,0.2344736072515527,0.39446126621383587,15
global_only,slice_class_2_support,285.2,96.821042577088,236.2017920327692,334.1982079672308,15
global_only,slice_class_3_precision,0.31654990724596616,0.08595810129744633,0.27304910605920785,0.36005070843272446,15
global_only,slice_class_3_recall,0.3127443325771232,0.1916593986903771,0.215751294432254,0.4097373707219924,15
global_only,slice_class_3_f1,0.2705872656740479,0.10359141712737267,0.21816277545038745,0.32301175589770836,15
global_only,slice_class_3_support,186.0,37.981198356179185,166.77886163620894,205.22113836379106,15
global_only,patient_accuracy,0.3661732963305581,0.08605110724598004,0.3226254276398033,0.40972116502131295,15
global_only,patient_balanced_accuracy,0.37653516236849577,0.0710503329341786,0.34057873289214446,0.41249159184484707,15
global_only,patient_macro_precision,0.3897502426873189,0.09717609498129026,0.3405723534124166,0.4389281319622212,15
global_only,patient_macro_recall,0.37653516236849577,0.0710503329341786,0.34057873289214446,0.41249159184484707,15
global_only,patient_macro_f1,0.3217704977340503,0.09712021123378844,0.2726208895374054,0.37092010593069524,15
global_only,patient_weighted_f1,0.3252495426177807,0.11420102683879137,0.2674558490757678,0.38304323615979363,15
global_only,patient_mcc,0.07360259516085824,0.11151344784015679,0.01716900424941361,0.13003618607230286,15
global_only,patient_macro_auroc,0.5366651643473505,0.0633484393475047,0.504606430802138,0.568723897892563,15
global_only,patient_macro_auprc,0.4092412913686081,0.04804770903615482,0.38492579571766966,0.43355678701954653,15
global_only,patient_class_1_sensitivity,0.4420217209690893,0.22876173330062496,0.32625231088156853,0.55779113105661,15
global_only,patient_class_1_specificity,0.6611900960895213,0.25721836850352897,0.531019641635954,0.7913605505430885,15
global_only,patient_class_2_sensitivity,0.35853688708951875,0.27170824401823696,0.2210335438858261,0.4960402302932114,15
global_only,patient_class_2_specificity,0.7056486459577856,0.23365279699199337,0.5874040161292686,0.8238932757863027,15
global_only,patient_class_3_sensitivity,0.32904687904687907,0.3104295479048201,0.17194785240395316,0.486145905689805,15
global_only,patient_class_3_specificity,0.6930814892864228,0.3016918978680319,0.5404043236589529,0.8457586549138927,15
global_only,patient_class_1_precision,0.4865932497589346,0.16830898348921455,0.4014171521230132,0.571769347394856,15
global_only,patient_class_1_recall,0.4420217209690893,0.22876173330062496,0.32625231088156853,0.55779113105661,15
global_only,patient_class_1_f1,0.417708694749509,0.12029059190418723,0.3568332560871966,0.4785841334118214,15
global_only,patient_class_1_support,16.4,3.5010202594590707,14.628239293809685,18.171760706190312,15
global_only,patient_class_2_precision,0.3735094758909953,0.19635584103591966,0.26676922480945264,0.480249726972538,13
global_only,patient_class_2_recall,0.35853688708951875,0.27170824401823696,0.2210335438858261,0.4960402302932114,15
global_only,patient_class_2_f1,0.31889408603159836,0.20094919420557752,0.21719976270624347,0.42058840935695324,15
global_only,patient_class_2_support,17.8,4.693460496112802,15.424781273229769,20.175218726770233,15
global_only,patient_class_3_precision,0.27807448961295117,0.13129733206579652,0.20670044686941969,0.34944853235648266,13
global_only,patient_class_3_recall,0.32904687904687907,0.3104295479048201,0.17194785240395316,0.486145905689805,15
global_only,patient_class_3_f1,0.22870871242104354,0.15061994184856647,0.15248450497324315,0.30493291986884397,15
global_only,patient_class_3_support,12.4,2.4142434484888695,11.1782242431608,13.6217757568392,15
global_only,small_slice_macro_f1,0.27752249465225554,0.06497112439672628,0.24464256916993107,0.31040242013457997,15
global_only,medium_slice_macro_f1,0.3129819604750391,0.05892757155416478,0.2831604947155069,0.34280342623457133,15
global_only,large_slice_macro_f1,0.2595526529553813,0.08163851862813987,0.2182378622094196,0.30086744370134305,15
local_only,slice_accuracy,0.33854155570403494,0.03184068572613206,0.3224279454856148,0.35465516592245505,15
local_only,slice_balanced_accuracy,0.34226737762872117,0.023019049155000727,0.3306181314764024,0.35391662378103994,15
local_only,slice_macro_precision,0.3325092741252561,0.04978809901804523,0.30731301962265734,0.3577055286278549,15
local_only,slice_macro_recall,0.34226737762872117,0.023019049155000727,0.3306181314764024,0.35391662378103994,15
local_only,slice_macro_f1,0.29943183351430935,0.04640381476545895,0.27594826314745946,0.32291540388115925,15
local_only,slice_weighted_f1,0.32063448693232005,0.04987443969267374,0.29539453801971627,0.34587443584492383,15
local_only,slice_mcc,0.010683704417591821,0.03598871599320052,-0.007529098747633918,0.02889650758281756,15
local_only,slice_macro_auroc,0.5065887081970609,0.01867681971944452,0.49713693333054676,0.5160404830635751,15
local_only,slice_macro_auprc,0.3462003507496015,0.014660969651027905,0.3387808764200375,0.35361982507916545,15
local_only,slice_class_1_sensitivity,0.42722823202874877,0.21601358551126112,0.3179102748480991,0.5365461892093984,15
local_only,slice_class_1_specificity,0.6022534463562431,0.20586369161424056,0.49807204419270734,0.7064348485197789,15
local_only,slice_class_2_sensitivity,0.2897249022926266,0.17633316563645657,0.2004880082104733,0.3789617963747799,15
local_only,slice_class_2_specificity,0.7262709081441263,0.19292154960598495,0.6286391335076547,0.823902682780598,15
local_only,slice_class_3_sensitivity,0.30984899856478804,0.19826899909009238,0.20951104110955626,0.4101869560200198,15
local_only,slice_class_3_specificity,0.6862511986605899,0.19007529798214187,0.5900598260821842,0.7824425712389956,15
local_only,slice_class_1_precision,0.2403068490872275,0.08347453643395397,0.19806290513359198,0.282550793040863,15
local_only,slice_class_1_recall,0.42722823202874877,0.21601358551126112,0.3179102748480991,0.5365461892093984,15
local_only,slice_class_1_f1,0.28948405777376096,0.12533741163766282,0.22605457593765116,0.35291353960987076,15
local_only,slice_class_1_support,141.6,48.59276842141373,117.00866624194612,166.19133375805387,15
local_only,slice_class_2_precision,0.4579449388315939,0.1791865875441683,0.36726401402707987,0.5486258636361079,15
local_only,slice_class_2_recall,0.2897249022926266,0.17633316563645657,0.2004880082104733,0.3789617963747799,15
local_only,slice_class_2_f1,0.3252850451568461,0.13539999306772682,0.25676319450839974,0.39380689580529243,15
local_only,slice_class_2_support,285.2,96.821042577088,236.2017920327692,334.1982079672308,15
local_only,slice_class_3_precision,0.2992760344569472,0.08562669726402973,0.25594294685102126,0.3426091220628732,15
local_only,slice_class_3_recall,0.30984899856478804,0.19826899909009238,0.20951104110955626,0.4101869560200198,15
local_only,slice_class_3_f1,0.28352639761232096,0.12001930523578183,0.2227882489465161,0.3442645462781258,15
local_only,slice_class_3_support,186.0,37.981198356179185,166.77886163620894,205.22113836379106,15
local_only,patient_accuracy,0.3357076780758558,0.07318896652320588,0.2986689506757093,0.37274640547600224,15
local_only,patient_balanced_accuracy,0.3299753446683271,0.05168049005809113,0.303821408165334,0.35612928117132026,15
local_only,patient_macro_precision,0.30221778780696634,0.11623569831490127,0.24339440842933513,0.36104116718459756,15
local_only,patient_macro_recall,0.3299753446683271,0.05168049005809113,0.303821408165334,0.35612928117132026,15
local_only,patient_macro_f1,0.25507221562470267,0.07204436938641201,0.21861273429601502,0.2915316969533903,15
local_only,patient_weighted_f1,0.26908462370396635,0.07757265922293899,0.2298274417112148,0.3083418056967179,15
local_only,patient_mcc,0.0009317462292233773,0.09550845073066264,-0.04740219861342854,0.0492656910718753,15
local_only,patient_macro_auroc,0.5092758251230681,0.05006675081160801,0.48393855335637037,0.5346130968897659,15
local_only,patient_macro_auprc,0.3866999811004701,0.04029771929577164,0.3663065213927086,0.4070934408082316,15
local_only,patient_class_1_sensitivity,0.47049770891876147,0.2916950532920585,0.3228796446654544,0.6181157731720686,15
local_only,patient_class_1_specificity,0.561258134160433,0.2960934036266016,0.41141419752785374,0.7111020707930122,15
local_only,patient_class_2_sensitivity,0.2568927125506073,0.2880433346638493,0.11112267290042663,0.40266275220078795,15
local_only,patient_class_2_specificity,0.7162690924637478,0.29671437299066344,0.5661109019744477,0.8664272829530479,15
local_only,patient_class_3_sensitivity,0.26253561253561253,0.3284952924492129,0.09629405773240324,0.4287771673388218,15
local_only,patient_class_3_specificity,0.7260989815069511,0.2791929323917919,0.5848078633760739,0.8673900996378282,15
local_only,patient_class_1_precision,0.4163396356284112,0.2062040855108538,0.30832333006555995,0.5243559411912624,14
local_only,patient_class_1_recall,0.47049770891876147,0.2916950532920585,0.3228796446654544,0.6181157731720686,15
